condition,perturbed_modality,perturbation_kind,retention_probability,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelets,0.003,Rare,6,1.0,0.5,0.6666666666666666,1,1.0,1.0,20.5,36.25,38.0,0.5,0.5,1,0.5,1,0.5
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,114.0,237.29999999999995,258.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,114.0,135.25,140.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.0,0.0,0.0,0,,,44.0,251.0,258.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,92.0,232.54999999999995,248.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,27.0,169.5,258.0,0.0,0.0,0,0.0,0,0.0
ADT_cell_permutation,ADT,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,78.5,228.49999999999997,248.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,62.0,200.39999999999995,219.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 memory,0.0865,Intermediate,173,0.3941368078175896,0.6994219653179191,0.5041666666666667,7,0.4596738215019273,0.3941368078175896,34.0,191.09999999999997,219.0,0.0,0.6994219653179191,3,0.3,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive I,0.0735,Intermediate,147,0.3464912280701754,0.5374149659863946,0.4213333333333334,3,0.4697760382691889,0.3464912280701754,18.0,191.09999999999997,219.0,0.0,0.5374149659863946,1,0.1,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,45.0,200.39999999999995,219.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.5,0.027027027027027,0.0512820512820512,1,0.5,0.5,41.5,285.74999999999983,389.0,0.0,0.027027027027027,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56dim CD16bright NK,0.206,Common,412,0.6754530477759473,0.9951456310679612,0.8047105004906772,9,0.794274740282248,0.6754530477759473,14.0,241.5,389.0,0.0194174757281553,0.9951456310679612,8,0.7272727272727273,6,0.5454545454545454
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 effector,0.06,Intermediate,120,0.5070422535211268,0.3,0.3769633507853402,5,0.5645021645021645,0.5070422535211268,18.0,278.49999999999994,389.0,0.0,0.3,2,0.1428571428571428,1,0.0714285714285714
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 memory,0.038,Intermediate,76,0.5,0.0263157894736842,0.05,2,0.6666666666666666,0.5,17.5,261.5,389.0,0.0131578947368421,0.0263157894736842,1,0.0625,1,0.0625
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,62.0,206.6,219.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Classical monocytes,0.1035,Common,207,0.5256410256410257,0.9903381642512076,0.6867671691792295,1,0.5256410256410257,0.5256410256410257,206.0,371.6,390.0,0.0,0.9903381642512076,1,0.5,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Erythroid ,0.005,Rare,10,1.0,1.0,1.0,2,1.0,1.0,5.0,7.699999999999999,8.0,1.0,1.0,2,1.0,2,1.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.6,0.6666666666666666,0.631578947368421,2,0.5641025641025641,0.6,32.5,284.59999999999974,389.0,0.0,0.6666666666666666,1,0.1,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Memory B,0.0215,Intermediate,43,0.32,0.7441860465116279,0.4475524475524475,1,0.32,0.32,105.0,109.5,110.0,0.0,0.7441860465116279,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,NK-T doublets,0.015,Intermediate,30,0.2222222222222222,0.0666666666666666,0.1025641025641025,1,0.2222222222222222,0.2222222222222222,32.0,329.4999999999999,389.0,0.0,0.0666666666666666,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,36.0,321.3999999999999,390.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Naive B,0.057,Intermediate,114,0.7837837837837838,0.7631578947368421,0.7733333333333334,2,0.8909090909090909,0.7837837837837838,100.0,109.0,110.0,0.0087719298245614,0.7631578947368421,2,0.6666666666666666,2,0.6666666666666666
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,37.0,354.7,390.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Non classical monocytes,0.051,Intermediate,102,0.5254237288135594,0.3039215686274509,0.3850931677018633,2,0.5755528255528255,0.5254237288135594,29.5,303.75,390.0,0.0,0.3039215686274509,1,0.1666666666666666,1,0.1666666666666666
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,100.0,100.0,100.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,14.0,33.45,36.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,390.0,390.0,390.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,390.0,390.0,390.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,70.5,344.7499999999999,389.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,62.0,206.6,219.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,1.0,0.0377358490566037,0.0727272727272727,1,1.0,1.0,47.0,108.0,110.0,0.0377358490566037,0.0377358490566037,1,0.2,1,0.2
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,213.5,372.35,390.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,42.0,244.5,389.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.25,ADT,binomial_thinning,0.25,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,245.0,375.5,390.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,76.5,293.5999999999999,329.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 memory,0.0865,Intermediate,173,0.4072948328267477,0.7745664739884393,0.5338645418326693,1,0.4072948328267477,0.4072948328267477,44.0,258.1999999999998,329.0,0.0,0.7745664739884393,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive I,0.0735,Intermediate,147,0.4829931972789115,0.4829931972789115,0.4829931972789115,3,0.5167970022808732,0.4829931972789115,51.5,270.0,329.0,0.0,0.4829931972789115,1,0.1666666666666666,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,76.0,293.5999999999999,329.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,1.0,0.027027027027027,0.0526315789473684,1,1.0,1.0,52.0,150.09999999999997,169.0,0.027027027027027,0.027027027027027,1,0.1,1,0.1
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56dim CD16bright NK,0.206,Common,412,0.7844660194174757,0.9805825242718448,0.8716289104638619,12,0.7606311054380616,0.7844660194174757,13.0,139.59999999999997,169.0,0.029126213592233,0.9805825242718448,11,0.7333333333333333,7,0.4666666666666667
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 effector,0.06,Intermediate,120,0.4640522875816993,0.5916666666666667,0.5201465201465202,6,0.6350595598627095,0.4640522875816993,47.0,200.9999999999999,329.0,0.0333333333333333,0.5916666666666667,2,0.1176470588235294,2,0.1176470588235294
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 memory,0.038,Intermediate,76,0.2542372881355932,0.1973684210526315,0.2222222222222222,1,0.2542372881355932,0.2542372881355932,45.5,217.89999999999984,329.0,0.0,0.1973684210526315,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 naive,0.0385,Intermediate,77,0.52,0.1688311688311688,0.2549019607843137,2,0.5147058823529411,0.52,51.5,270.0,329.0,0.0,0.1688311688311688,1,0.1666666666666666,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Classical monocytes,0.1035,Common,207,0.4974489795918367,0.9420289855072465,0.651085141903172,2,0.4754464285714286,0.4974489795918367,168.0,218.4,224.0,0.0,0.9420289855072465,1,0.3333333333333333,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Erythroid ,0.005,Rare,10,1.0,0.5,0.6666666666666666,1,1.0,1.0,86.5,159.85,168.0,0.5,0.5,1,0.5,1,0.5
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.4736842105263157,0.4,0.4337349397590361,3,0.75,0.4736842105263157,44.0,187.5999999999998,329.0,0.0666666666666666,0.4,2,0.1333333333333333,2,0.1333333333333333
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,31.0,134.5,146.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,47.0,120.2,127.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,169.0,218.5,224.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Naive B,0.057,Intermediate,114,0.6158536585365854,0.8859649122807017,0.7266187050359711,2,0.6381278538812785,0.6158536585365854,31.0,134.5,146.0,0.0,0.8859649122807017,2,0.6666666666666666,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,196.0,221.2,224.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Non classical monocytes,0.051,Intermediate,102,0.4328358208955223,0.284313725490196,0.3431952662721893,2,0.6724137931034483,0.4328358208955223,113.0,210.25,224.0,0.088235294117647,0.284313725490196,1,0.1666666666666666,1,0.1666666666666666
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,88.5,140.25,146.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,127.0,164.79999999999998,169.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,168.0,218.4,224.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,168.0,168.0,168.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,99.5,124.45,127.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,93.0,305.4,329.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.5348837209302325,0.4339622641509434,0.4791666666666666,2,0.549731182795699,0.5348837209302325,24.5,124.0,146.0,0.0,0.4339622641509434,2,0.3333333333333333,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,113.0,215.6,224.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,gdT cells,0.04,Intermediate,80,0.3,0.0375,0.0666666666666666,1,0.3,0.3,17.0,143.79999999999995,169.0,0.0,0.0375,0,0.0,0,0.0
ADT_thin_0.5,ADT,binomial_thinning,0.5,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,plasmacytoid DC,0.0055,Rare,11,0.7142857142857143,0.9090909090909092,0.8,1,0.7142857142857143,0.7142857142857143,36.0,55.8,58.0,0.0,0.9090909090909092,1,0.5,1,0.5
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.3333333333333333,0.1333333333333333,0.1904761904761904,1,0.3333333333333333,0.3333333333333333,18.0,272.5999999999998,386.0,0.0,0.1333333333333333,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 memory,0.0865,Intermediate,173,0.2842535787321063,0.8034682080924855,0.4199395770392748,4,0.3939082450782266,0.2842535787321063,26.0,224.0,386.0,0.0,0.8034682080924855,1,0.0909090909090909,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive I,0.0735,Intermediate,147,0.3902439024390244,0.2176870748299319,0.2794759825327511,5,0.6491818181818182,0.3902439024390244,22.0,191.59999999999957,386.0,0.0136054421768707,0.2176870748299319,3,0.2307692307692307,2,0.1538461538461538
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,28.0,240.19999999999965,386.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,22.0,257.8999999999999,284.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56dim CD16bright NK,0.206,Common,412,0.7467652495378928,0.9805825242718448,0.8478488982161595,6,0.7477448496131022,0.7467652495378928,15.5,244.8499999999999,284.0,0.0072815533980582,0.9805825242718448,6,0.6,3,0.3
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 effector,0.06,Intermediate,120,0.5106382978723404,0.2,0.2874251497005988,7,0.6739177489177488,0.5106382978723404,15.5,299.29999999999984,386.0,0.025,0.2,5,0.2777777777777778,2,0.1111111111111111
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 memory,0.038,Intermediate,76,0.0,0.0,0.0,0,,,14.0,272.59999999999974,386.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD8 naive,0.0385,Intermediate,77,0.5882352941176471,0.1298701298701298,0.2127659574468085,2,0.6190476190476191,0.5882352941176471,30.0,256.39999999999986,386.0,0.0,0.1298701298701298,2,0.2222222222222222,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Classical monocytes,0.1035,Common,207,0.5036496350364964,1.0,0.6699029126213593,1,0.5036496350364964,0.5036496350364964,411.0,411.0,411.0,0.0,1.0,1,1.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Erythroid ,0.005,Rare,10,0.8333333333333334,1.0,0.9090909090909092,1,0.8333333333333334,0.8333333333333334,12.0,12.0,12.0,0.0,1.0,1,1.0,1,1.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.3884297520661157,0.5222222222222223,0.4454976303317535,4,0.4425553613053613,0.3884297520661157,28.0,300.9499999999998,386.0,0.0,0.5222222222222223,1,0.1,1,0.1
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,36.0,132.29999999999998,143.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,55.0,338.75,386.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,226.0,392.5,411.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Naive B,0.057,Intermediate,114,0.6201117318435754,0.9736842105263158,0.7576791808873721,2,0.6687062937062938,0.6201117318435754,29.0,126.94999999999996,143.0,0.0,0.9736842105263158,2,0.5,1,0.25
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,41.0,374.0,411.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Non classical monocytes,0.051,Intermediate,102,0.6341463414634146,0.2549019607843137,0.3636363636363636,1,0.6341463414634146,0.6341463414634146,35.5,323.25,411.0,0.0,0.2549019607843137,1,0.1666666666666666,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Plasma cells,0.002,Rare,4,0.5,0.25,0.3333333333333333,1,0.5,0.5,26.0,35.099999999999994,36.0,0.0,0.25,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,12.0,256.79999999999995,284.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,411.0,411.0,411.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Platelets,0.003,Rare,6,0.375,0.5,0.4285714285714285,1,0.375,0.375,12.0,371.1,411.0,0.0,0.5,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,109.5,270.95,284.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,50.0,321.19999999999993,386.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.6818181818181818,0.2830188679245283,0.3999999999999999,1,0.6818181818181818,0.6818181818181818,143.0,385.6,411.0,0.0,0.2830188679245283,1,0.2,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,411.0,411.0,411.0,0.0,0.0,0,0.0,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,gdT cells,0.04,Intermediate,80,0.5454545454545454,0.15,0.2352941176470588,2,0.5416666666666667,0.5454545454545454,24.0,324.79999999999984,386.0,0.0,0.15,1,0.0769230769230769,0,0.0
ADT_thin_0.75,ADT,binomial_thinning,0.75,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,82.5,370.7999999999999,411.0,0.0,0.0,0,0.0,0,0.0
RNA_cell_permutation,RNA,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,100.0,221.2,238.0,0.0,0.0,0,0.0,0,0.0
RNA_cell_permutation,RNA,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 memory,0.0865,Intermediate,173,0.244131455399061,0.6011560693641619,0.347245409015025,7,0.3256734168194069,0.244131455399061,37.0,200.1999999999999,238.0,0.0,0.6011560693641619,1,0.0526315789473684,0,0.0
RNA_cell_permutation,RNA,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive I,0.0735,Intermediate,147,0.2298850574712643,0.1360544217687075,0.1709401709401709,3,0.3554463554463554,0.2298850574712643,39.0,202.29999999999995,238.0,0.0,0.1360544217687075,0,0.0,0,0.0
RNA_cell_permutation,RNA,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,57.5,219.1,238.0,0.0,0.0,0,0.0,0,0.0
RNA_cell_permutation,RNA,cell_permutation,,D5,GARQ,0,diagnostic_variant_modality_noise,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,86.0,210.7,238.0,0.0,0.0,0,0.0,0,0.0
